filename	category	lines	imports	sorry_count	admit_count	axiom_decl_count	print_axioms_count	top_level_decl_count	top_level_theorem_def_names	same_named_modules_under_ArithmeticHodge	same_named_declarations_under_ArithmeticHodge	overlap_status	disposition	salvage_rank	notes
AdeleClassConsistencyAuditScratch.lean	Audit	104	ArithmeticHodge.Adelic.ClassSpace;Mathlib.MeasureTheory.Integral.Bochner.Basic	0	0	0	3	3	theorem:translated_window_product_mixing_inconsistent_scratch;theorem:no_AdeleClassSpaceData_consistency_audit_scratch;theorem:AdeleClassSpaceData_isEmpty_consistency_audit_scratch		translated_window_product_mixing_inconsistent_scratch=>translated_window_product_mixing_inconsistent@ArithmeticHodge.Adelic.ClassSpace;no_AdeleClassSpaceData_consistency_audit_scratch=>no_AdeleClassSpaceData@ArithmeticHodge.Adelic.ClassSpace;AdeleClassSpaceData_isEmpty_consistency_audit_scratch=>AdeleClassSpaceData_isEmpty@ArithmeticHodge.Adelic.ClassSpace	all_declarations_now_exist	superseded_by_tracked_declarations		
AdeleClassContradictionScratch.lean	Scratch	73	ArithmeticHodge.Adelic.ClassSpace;Mathlib.MeasureTheory.Integral.Bochner.Basic	0	0	0	1	1	theorem:no_AdeleClassSpaceData_scratch		no_AdeleClassSpaceData_scratch=>no_AdeleClassSpaceData@ArithmeticHodge.Adelic.ClassSpace	all_declarations_now_exist	superseded_by_tracked_declarations		
AdeleClassPromotionAudit.lean	Audit	5	ArithmeticHodge.Adelic.ClassSpace	0	0	0	3	0		audit-target:ArithmeticHodge.Adelic.ClassSpace		no_top_level_theorem_or_def	superseded_promotion_artifact		
BombieriArchAlgebraScratch.lean	Scratch	76	ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant	0	0	0	1	3	def:correctedOddTerm;def:bombieriHarmonicDelta;theorem:bombieri_gamma_series_algebra		bombieriHarmonicDelta=>bombieriHarmonicDelta@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;bombieri_gamma_series_algebra=>bombieri_gamma_series_algebra@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean	partial:2/3	partial_overlap_review		
BombieriArchIntegrableScratch.lean	Scratch	314	ArithmeticHodge.Analysis.MultiplicativeWeil;Mathlib.Analysis.Calculus.DSlope;Mathlib.Analysis.SpecialFunctions.ImproperIntegrals;Mathlib.NumberTheory.Harmonic.EulerMascheroni	0	0	0	2	21	def:bombieriArchIntegrand;def:bombieriArchNumerator;theorem:bombieriArchNumerator_one;theorem:bombieriArchNumerator_contDiffOn;def:bombieriArchLocalExtension;theorem:bombieriArchLocalExtension_continuousOn;theorem:bombieriArchIntegrand_eq_localExtension;theorem:bombieriArchIntegrableOn_Ioc_one_two;def:bombieriArchDirectTail;def:bombieriArchReflectedTail;def:bombieriArchCorrectionTail;theorem:bombieriArchIntegrand_eq_tail_sum;theorem:directTail_integrableOn_Ioi_two;theorem:reflectedTail_integrableOn_Ioi_two;theorem:correctionTail_integrableOn_Ioi_two;theorem:bombieriArchIntegrableOn_Ioi_two;theorem:bombieriArchIntegrand_integrable;def:bombieriArchTerm;theorem:bombieriArchIntegrand_add;theorem:bombieriArchIntegrand_smul;def:bombieriArchIntegralLinearMap		bombieriArchIntegrand=>bombieriArchIntegrand@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchNumerator=>bombieriArchNumerator@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchNumerator_one=>bombieriArchNumerator_one@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchNumerator_contDiffOn=>bombieriArchNumerator_contDiffOn@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchLocalExtension=>bombieriArchLocalExtension@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchLocalExtension_continuousOn=>bombieriArchLocalExtension_continuousOn@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrand_eq_localExtension=>bombieriArchIntegrand_eq_localExtension@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrableOn_Ioc_one_two=>bombieriArchIntegrableOn_Ioc_one_two@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchDirectTail=>bombieriArchDirectTail@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchReflectedTail=>bombieriArchReflectedTail@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchCorrectionTail=>bombieriArchCorrectionTail@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrand_eq_tail_sum=>bombieriArchIntegrand_eq_tail_sum@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;directTail_integrableOn_Ioi_two=>directTail_integrableOn_Ioi_two@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;reflectedTail_integrableOn_Ioi_two=>reflectedTail_integrableOn_Ioi_two@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;correctionTail_integrableOn_Ioi_two=>correctionTail_integrableOn_Ioi_two@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrableOn_Ioi_two=>bombieriArchIntegrableOn_Ioi_two@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrand_integrable=>bombieriArchIntegrand_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchTerm=>bombieriArchTerm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrand_add=>bombieriArchIntegrand_add@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegrand_smul=>bombieriArchIntegrand_smul@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;bombieriArchIntegralLinearMap=>bombieriArchIntegralLinearMap@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriArchKernelScratch.lean	Scratch	234	ArithmeticHodge.Analysis.MultiplicativeWeilMellinFourier;Mathlib.Analysis.Fourier.Inversion;Mathlib.Analysis.SpecialFunctions.ImproperIntegrals	0	0	0	6	10	def:laplaceKernel;theorem:laplaceKernel_integrable;theorem:fourier_laplaceKernel;theorem:fourier_fourier_schwartz_apply;theorem:integral_fourier_laplace_mul_fourier;theorem:bombieriMellin_laplaceKernel_frequency;theorem:bombieriMellin_cauchyKernel_integral;def:multiplicativeLaplaceWeight;theorem:mellin_multiplicativeLaplaceWeight_eq_log_integral;theorem:bombieriMellin_cauchyKernel_eq_weightedMellin		laplaceKernel=>laplaceKernel@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;laplaceKernel_integrable=>laplaceKernel_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;fourier_laplaceKernel=>fourier_laplaceKernel@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;fourier_fourier_schwartz_apply=>fourier_fourier_schwartz_apply@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;integral_fourier_laplace_mul_fourier=>integral_fourier_laplace_mul_fourier@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;bombieriMellin_laplaceKernel_frequency=>bombieriMellin_laplaceKernel_frequency@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;bombieriMellin_cauchyKernel_integral=>bombieriMellin_cauchyKernel_integral@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;bombieriMellin_cauchyKernel_eq_weightedMellin=>bombieriMellin_cauchyKernel_eq_weightedMellin@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel	partial:8/10	mostly_promoted_review_residue		
BombieriArchSeriesIntegralScratch.lean	Scratch	226	ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean;ArithmeticHodge.Analysis.MultiplicativeWeilTranspose	0	0	0	2	14	def:bombieriArchSeriesNumerator;def:bombieriArchSeriesTerm;def:bombieriArchSeriesBound;theorem:summable_inv_odd_pow;theorem:tsum_inv_odd_pow;theorem:summable_inv_odd_pow_real;theorem:tsum_inv_odd_pow_real;theorem:hasSum_bombieriArchSeriesTerm;theorem:bombieriArchSeriesTerm_continuousOn;theorem:norm_bombieriArchSeriesTerm_eq_bound;theorem:summable_bombieriArchSeriesBound;theorem:tsum_bombieriArchSeriesBound_eq_norm;theorem:hasSum_integral_bombieriArchSeriesTerm;theorem:tsum_integral_bombieriArchSeriesTerm		bombieriArchSeriesNumerator=>bombieriArchSeriesNumerator@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;bombieriArchSeriesTerm=>bombieriArchSeriesTerm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;bombieriArchSeriesBound=>bombieriArchSeriesBound@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;summable_inv_odd_pow=>summable_inv_odd_pow@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;tsum_inv_odd_pow=>tsum_inv_odd_pow@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;summable_inv_odd_pow_real=>summable_inv_odd_pow_real@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;tsum_inv_odd_pow_real=>tsum_inv_odd_pow_real@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;hasSum_bombieriArchSeriesTerm=>hasSum_bombieriArchSeriesTerm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;bombieriArchSeriesTerm_continuousOn=>bombieriArchSeriesTerm_continuousOn@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;norm_bombieriArchSeriesTerm_eq_bound=>norm_bombieriArchSeriesTerm_eq_bound@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;summable_bombieriArchSeriesBound=>summable_bombieriArchSeriesBound@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;tsum_bombieriArchSeriesBound_eq_norm=>tsum_bombieriArchSeriesBound_eq_norm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;hasSum_integral_bombieriArchSeriesTerm=>hasSum_integral_bombieriArchSeriesTerm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;tsum_integral_bombieriArchSeriesTerm=>tsum_integral_bombieriArchSeriesTerm@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriArchSeriesScratch.lean	Scratch	82	ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean	0	0	0	3	3	theorem:summable_inv_odd_pow;theorem:tsum_inv_odd_pow;theorem:tsum_odd_kernel_mul_archNumerator		summable_inv_odd_pow=>summable_inv_odd_pow@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries;tsum_inv_odd_pow=>tsum_inv_odd_pow@ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanSeries	partial:2/3	partial_overlap_review		
BombieriBundledTestScratch.lean	Scratch	52	ArithmeticHodge.Analysis.MultiplicativeWeil;Mathlib.Analysis.Distribution.TestFunction	0	0	0	1	3	def:positiveHalfLine;abbrev:BombieriTest;theorem:BombieriTest.mellinConvergent		positiveHalfLine=>positiveHalfLine@ArithmeticHodge.Analysis.MultiplicativeWeil;BombieriTest=>BombieriTest@ArithmeticHodge.Analysis.MultiplicativeWeil;BombieriTest.mellinConvergent=>mellinConvergent@ArithmeticHodge.Analysis.MultiplicativeWeil	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriCriterionScratch.lean	Scratch	120	ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;ArithmeticHodge.Analysis.MultiplicativeWeilQuadraticMellin;ArithmeticHodge.Analysis.MultiplicativeWeilZeros	0	0	0	2	8	theorem:zero_re_eq_half;theorem:rh_quadratic_eq_tsum;theorem:rh_quadratic_nonneg;def:BombieriSpectralSeparation;theorem:rh_quadratic_strictPos;def:BombieriStrictPositivity;def:BombieriOffCriticalNegativity;theorem:rh_iff_bombieriStrictPositivity		BombieriSpectralSeparation=>BombieriSpectralSeparation@ArithmeticHodge.Analysis.MultiplicativeWeilCriterion;BombieriStrictPositivity=>BombieriStrictPositivity@ArithmeticHodge.Analysis.MultiplicativeWeilCriterion	partial:2/8	partial_overlap_review		
